x,y,ux,uy,velocity_magnitude
8,7,0.05750121,0.00000000,0.05750121
8,8,0.05715361,0.00000000,0.05715361
8,9,0.05675934,0.00000000,0.05675934
8,10,0.05631829,0.00000000,0.05631829
8,11,0.05583032,0.00000000,0.05583032
8,12,0.05529529,0.00000000,0.05529529
8,13,0.05471303,0.00000000,0.05471303
8,14,0.05408338,0.00000000,0.05408338
8,15,0.05340615,0.00000000,0.05340615
8,16,0.05268114,0.00000000,0.05268114
8,17,0.05190814,0.00000000,0.05190814
8,18,0.05108694,0.00000000,0.05108694
8,19,0.05021728,0.00000000,0.05021728
8,20,0.04929893,0.00000000,0.04929893
8,21,0.04833163,0.00000000,0.04833163
8,22,0.04731510,0.00000000,0.04731510
8,23,0.04624907,0.00000000,0.04624907
8,24,0.04513325,0.00000000,0.04513325
8,25,0.04396732,0.00000000,0.04396732
8,26,0.04275099,0.00000000,0.04275099
8,27,0.04148393,0.00000000,0.04148393
8,28,0.04016580,0.00000000,0.04016580
8,29,0.03879627,0.00000000,0.03879627
8,30,0.03737498,0.00000000,0.03737498
8,31,0.03590158,0.00000000,0.03590158
8,32,0.03437569,0.00000000,0.03437569
8,33,0.03279696,0.00000000,0.03279696
8,34,0.03116499,0.00000000,0.03116499
8,35,0.02947939,0.00000000,0.02947939
8,36,0.02773978,0.00000000,0.02773978
8,37,0.02594574,0.00000000,0.02594574
8,38,0.02409688,0.00000000,0.02409688
8,39,0.02219278,0.00000000,0.02219278
8,40,0.02023302,0.00000000,0.02023302
8,41,0.01821719,0.00000000,0.01821719
8,42,0.01614485,0.00000000,0.01614485
8,43,0.01401558,0.00000000,0.01401558
8,44,0.01182895,0.00000000,0.01182895
8,45,0.00958451,0.00000000,0.00958451
8,46,0.00728184,0.00000000,0.00728184
8,47,0.00492049,0.00000000,0.00492049
8,48,0.00250002,0.00000000,0.00250002
8,49,0.00002000,0.00000000,0.00002000
9,0,0.05863487,0.00000000,0.05863487
9,1,0.05861176,0.00000000,0.05861176
9,2,0.05854243,0.00000000,0.05854243
9,3,0.05842686,0.00000000,0.05842686
9,4,0.05826500,0.00000000,0.05826500
9,5,0.05805682,0.00000000,0.05805682
9,6,0.05780225,0.00000000,0.05780225
9,7,0.05750121,0.00000000,0.05750121
9,8,0.05715361,0.00000000,0.05715361
9,9,0.05675934,0.00000000,0.05675934
9,10,0.05631829,0.00000000,0.05631829
9,11,0.05583032,0.00000000,0.05583032
9,12,0.05529529,0.00000000,0.05529529
9,13,0.05471303,0.00000000,0.05471303
9,14,0.05408338,0.00000000,0.05408338
9,15,0.05340615,0.00000000,0.05340615
9,16,0.05268114,0.00000000,0.05268114
9,17,0.05190814,0.00000000,0.05190814
9,18,0.05108694,0.00000000,0.05108694
9,19,0.05021728,0.00000000,0.05021728
9,20,0.04929893,0.00000000,0.04929893
9,21,0.04833163,0.00000000,0.04833163
9,22,0.04731510,0.00000000,0.04731510
9,23,0.04624907,0.00000000,0.04624907
9,24,0.04513325,0.00000000,0.04513325
9,25,0.04396732,0.00000000,0.04396732
9,26,0.04275099,0.00000000,0.04275099
9,27,0.04148393,0.00000000,0.04148393
9,28,0.04016580,0.00000000,0.04016580
9,29,0.03879627,0.00000000,0.03879627
9,30,0.03737498,0.00000000,0.03737498
9,31,0.03590158,0.00000000,0.03590158
9,32,0.03437569,0.00000000,0.03437569
9,33,0.03279696,0.00000000,0.03279696
9,34,0.03116499,0.00000000,0.03116499
9,35,0.02947939,0.00000000,0.02947939
9,36,0.02773978,0.00000000,0.02773978
9,37,0.02594574,0.00000000,0.02594574
9,38,0.02409688,0.00000000,0.02409688
9,39,0.02219278,0.00000000,0.02219278
9,40,0.02023302,0.00000000,0.02023302
9,41,0.01821719,0.00000000,0.01821719
9,42,0.01614485,0.00000000,0.01614485
9,43,0.01401558,0.00000000,0.01401558
9,44,0.01182895,0.00000000,0.01182895
9,45,0.00958451,0.00000000,0.00958451
